cluster	gene	score	adj_p_value	logfoldchange
4	IFITM2	21.254913330078125	4.5241846800110767e-97	13.936396598815918
4	S100A11	21.04157829284668	3.745721691305501e-95	11.82359504699707
5	GZMB	19.220428466796875	1.868845618132675e-78	17.03853988647461
5	NKG7	19.215885162353516	1.868845618132675e-78	33.88973617553711
5	PRF1	18.71565818786621	1.6869776927737246e-74	10.568852424621582
5	GNLY	18.551982879638672	2.694773537437509e-73	28.561975479125977
5	FGFBP2	17.756711959838867	4.194691306960323e-67	10.223865509033203
5	GZMA	17.569141387939453	9.70382627614505e-66	7.907376766204834
5	CST7	17.542442321777344	1.3311327103305439e-65	8.048798561096191
5	CTSW	17.531278610229492	1.4174826887373464e-65	7.107794761657715
5	CD247	15.427611351013184	1.4639595732265378e-50	5.676905155181885
5	SPON2	15.080289840698242	2.302973064396683e-48	7.36514949798584
6	HLA-DPB1	9.92568588256836	4.414305328898328e-19	57.48243713378906
6	HLA-DPA1	9.820680618286133	4.92633207652048e-19	43.749263763427734
6	CD74	9.804418563842773	4.92633207652048e-19	117.25778198242188
6	HLA-DRA	9.7740478515625	4.989112936950991e-19	94.61559295654297
6	HLA-DRB1	9.617133140563965	1.856636862115781e-18	41.80674362182617
6	HLA-DQA1	9.580085754394531	2.2162855115719447e-18	18.847232818603516
6	CST3	9.499743461608887	4.1221875290787236e-18	59.121673583984375
6	LSP1	9.313965797424316	2.1110294512015752e-17	6.078482151031494
6	HLA-DMA	9.246439933776855	3.53659624393872e-17	7.491295337677002
6	HLA-DRB5	9.207453727722168	4.579823803909345e-17	18.162019729614258
7	PPBP	6.228780269622803	1.3663864667576062e-06	65.59025573730469
7	PF4	6.228423118591309	1.3663864667576062e-06	33.5069465637207
7	GNG11	6.228423118591309	1.3663864667576062e-06	21.89055061340332
7	SDPR	6.2268171310424805	1.3663864667576062e-06	22.186391830444336
7	SPARC	6.219679355621338	1.3663864667576062e-06	11.75236988067627
7	NRGN	6.1632890701293945	1.5618354114067095e-06	10.911172866821289
7	RGS18	6.128848552703857	1.5618354114067095e-06	9.061700820922852
7	GPX1	6.106185436248779	1.5618354114067095e-06	23.513620376586914
7	TPM4	6.105471611022949	1.5618354114067095e-06	8.487385749816895
7	TAGLN2	5.762848377227783	1.0972597968243408e-05	9.256756782531738
